date,positive
1/1/1959,35
1/2/1959,32
1/3/1959,30
1/4/1959,31
1/5/1959,44
1/6/1959,29
1/7/1959,45
1/8/1959,43
1/9/1959,38
1/10/1959,27
1/11/1959,38
1/12/1959,33
1/13/1959,55
1/14/1959,47
1/15/1959,45
1/16/1959,37
1/17/1959,50
1/18/1959,43
1/19/1959,41
1/20/1959,52
1/21/1959,34
1/22/1959,53
1/23/1959,39
1/24/1959,32
1/25/1959,37
1/26/1959,43
1/27/1959,39
1/28/1959,35
1/29/1959,44
1/30/1959,38
1/31/1959,24
2/1/1959,23
2/2/1959,31
2/3/1959,44
2/4/1959,38
2/5/1959,50
2/6/1959,38
2/7/1959,51
2/8/1959,31
2/9/1959,31
2/10/1959,51
2/11/1959,36
2/12/1959,45
2/13/1959,51
2/14/1959,34
2/15/1959,52
2/16/1959,47
2/17/1959,45
2/18/1959,46
2/19/1959,39
2/20/1959,48
2/21/1959,37
2/22/1959,35
2/23/1959,52
2/24/1959,42
2/25/1959,45
2/26/1959,39
2/27/1959,37
2/28/1959,30
3/1/1959,35
3/2/1959,28
3/3/1959,45
3/4/1959,34
3/5/1959,36
3/6/1959,50
3/7/1959,44
3/8/1959,39
3/9/1959,32
3/10/1959,39
3/11/1959,45
3/12/1959,43
3/13/1959,39
3/14/1959,31
3/15/1959,27
3/16/1959,30
3/17/1959,42
3/18/1959,46
3/19/1959,41
3/20/1959,36
3/21/1959,45
3/22/1959,46
3/23/1959,43
3/24/1959,38
3/25/1959,34
3/26/1959,35
3/27/1959,56
3/28/1959,36
3/29/1959,32
3/30/1959,50
3/31/1959,41
4/1/1959,39
4/2/1959,41
4/3/1959,47
4/4/1959,34
4/5/1959,36
4/6/1959,33
4/7/1959,35
4/8/1959,38
4/9/1959,38
4/10/1959,34
4/11/1959,53
4/12/1959,34
4/13/1959,34
4/14/1959,38
4/15/1959,35
4/16/1959,32
4/17/1959,42
4/18/1959,34
4/19/1959,46
4/20/1959,30
4/21/1959,46
4/22/1959,45
4/23/1959,54
4/24/1959,34
4/25/1959,37
4/26/1959,35
4/27/1959,40
4/28/1959,42
4/29/1959,58
4/30/1959,51
5/1/1959,32
5/2/1959,35
5/3/1959,38
5/4/1959,33
5/5/1959,39
5/6/1959,47
5/7/1959,38
5/8/1959,52
5/9/1959,30
5/10/1959,34
5/11/1959,40
5/12/1959,35
5/13/1959,42
5/14/1959,41
5/15/1959,42
5/16/1959,38
5/17/1959,24
5/18/1959,34
5/19/1959,43
5/20/1959,36
5/21/1959,55
5/22/1959,41
5/23/1959,45
5/24/1959,41
